time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-01-07T11:22:00.500Z,36.4857,-98.7367,6.354,2.5,ml,,117,,0.54,us,us10004c2x,2016-03-28T22:09:44.040Z,"33km NW of Fairview, Oklahoma",earthquake,2.7,7.2,,,reviewed,tul,tul
2016-01-07T13:40:59.200Z,36.4819,-98.7491,9.828,3.7,ml,,117,,1.06,us,us10004c3g,2016-03-28T22:09:44.040Z,"33km NW of Fairview, Oklahoma",earthquake,4,7.5,,,reviewed,tul,tul
2016-01-07T13:53:39.700Z,36.4728,-98.7414,3.196,2.5,ml,,120,,0.27,us,us10004c3j,2016-03-28T22:09:44.040Z,"32km NW of Fairview, Oklahoma",earthquake,1.9,7.9,,,reviewed,tul,tul
2016-01-07T14:47:03.800Z,36.482,-98.7396,4.812,2.6,ml,,116,,0.63,us,us10004c3w,2016-03-28T22:09:44.040Z,"33km NW of Fairview, Oklahoma",earthquake,2,7.4,,,reviewed,tul,tul
2016-01-07T15:00:31.800Z,36.4924,-98.7278,9.628,2.6,ml,,117,,0.81,us,us10004c42,2016-03-28T22:09:45.040Z,"33km NW of Fairview, Oklahoma",earthquake,1.3,4.5,,,reviewed,tul,tul
2016-01-07T16:30:58.300Z,36.7151,-98.6888,5,2.4,ml,,112,,0.64,us,us10004c5t,2016-03-28T22:09:45.040Z,"10km SSW of Alva, Oklahoma",earthquake,2.2,6,,,reviewed,tul,tul
2016-01-07T17:59:12.560Z,36.4571,-97.1985,4.87,2.6,mb_lg,,57,0.303,0.36,us,us10004c69,2016-03-28T22:09:45.040Z,"20km NNE of Perry, Oklahoma",earthquake,0.8,7.6,0.208,6,reviewed,us,us
2016-01-07T18:00:26.300Z,36.4698,-98.7479,5.696,3.4,ml,,115,,0.47,us,us10004c6a,2016-03-28T22:09:45.040Z,"32km NW of Fairview, Oklahoma",earthquake,4.5,7.8,,,reviewed,tul,tul
2016-01-07T18:34:35.100Z,36.4707,-98.7527,9.378,3.4,ml,,96,,0.76,us,us10004c6c,2016-03-28T22:09:45.040Z,"33km NW of Fairview, Oklahoma",earthquake,3.9,7.3,,,reviewed,tul,tul
2016-01-07T18:39:18.700Z,36.4727,-98.7527,7.077,2.8,ml,,116,,0.47,us,us10004c6d,2016-03-28T22:09:45.040Z,"33km NW of Fairview, Oklahoma",earthquake,2.8,7.1,,,reviewed,tul,tul
2016-01-07T19:26:14.800Z,36.5008,-98.7194,7.944,2.7,ml,,118,,0.72,us,us10004c6v,2016-03-28T22:09:45.040Z,"33km NW of Fairview, Oklahoma",earthquake,2.3,1,,,reviewed,tul,tul
2016-01-07T19:59:44.500Z,36.5024,-98.7108,5,3.7,mwr,,98,,0.86,us,us10004c72,2016-03-28T22:09:45.040Z,"33km S of Alva, Oklahoma",earthquake,3.6,6.4,0.071,19,reviewed,tul,us
2016-01-07T20:27:25.400Z,36.4832,-98.72,0.995,2.7,ml,,115,,0.74,us,us10004c7a,2016-03-28T22:09:45.040Z,"32km NW of Fairview, Oklahoma",earthquake,1.4,7.2,,,reviewed,tul,tul
2016-01-07T23:52:02.900Z,36.4739,-98.7451,5,2.7,ml,,115,,0.5,us,us10004c8l,2016-03-28T22:09:45.040Z,"32km NW of Fairview, Oklahoma",earthquake,1.9,6.3,,,reviewed,tul,tul
2016-01-08T00:10:03.600Z,36.4968,-98.7259,7.717,3,ml,,99,,0.55,us,us10004c8n,2016-03-30T02:27:48.040Z,"33km NW of Fairview, Oklahoma",earthquake,2.7,7.2,,,reviewed,tul,tul
2016-01-08T00:46:28.400Z,36.3044,-96.6543,5.712,2.8,ml,,75,,0.5,us,us10004c8z,2016-03-30T02:27:48.040Z,"13km ESE of Pawnee, Oklahoma",earthquake,1.5,6.9,,,reviewed,tul,tul
2016-01-08T01:53:30.800Z,36.4919,-98.7296,7.703,3,ml,,117,,0.32,us,us10004c9s,2016-03-30T02:27:48.040Z,"33km NW of Fairview, Oklahoma",earthquake,4.1,7.9,,,reviewed,tul,tul
2016-01-08T02:58:52.800Z,36.4723,-98.7525,8.486,2.6,ml,,116,,0.74,us,us10004cad,2016-03-30T02:27:48.040Z,"33km NW of Fairview, Oklahoma",earthquake,2.4,6.9,,,reviewed,tul,tul
2016-01-08T03:03:31.900Z,36.5234,-98.6936,6.52,2.6,ml,,116,,0.59,us,us10004caf,2016-03-30T02:27:48.040Z,"31km S of Alva, Oklahoma",earthquake,2,7.5,,,reviewed,tul,tul
2016-01-08T05:37:45.100Z,36.7064,-97.6317,5.33,3.5,ml,,55,,0.57,us,us10004cb6,2016-03-30T02:27:48.040Z,"14km SE of Medford, Oklahoma",earthquake,1.6,7.9,,,reviewed,tul,tul
2016-01-08T05:49:44.700Z,36.3087,-96.6483,6.768,3,ml,,75,,0.5,us,us10004cb9,2016-03-30T02:27:48.040Z,"14km ESE of Pawnee, Oklahoma",earthquake,1.4,4.6,,,reviewed,tul,tul
2016-01-08T08:06:36.460Z,36.321,-97.5469,5,2.3,ml,,60,0.223,0.19,us,us10004cbf,2016-03-30T02:27:48.040Z,"23km W of Perry, Oklahoma",earthquake,1,5.2,0.062,34,reviewed,us,us
2016-01-08T09:54:40.900Z,36.7305,-98.0145,6.145,3.1,ml,,74,,0.69,us,us10004cbr,2016-03-30T02:27:48.040Z,"26km WSW of Medford, Oklahoma",earthquake,1.8,6.7,,,reviewed,tul,tul
2016-01-08T13:36:29.000Z,36.5137,-98.7184,10.447,3.8,mwr,,101,,0.73,us,us10004cck,2016-03-30T02:27:49.040Z,"32km S of Alva, Oklahoma",earthquake,1.7,5.2,0.066,22,reviewed,tul,us
2016-01-08T14:01:56.100Z,36.5095,-98.7148,7.532,3.9,ml,,119,,0.88,us,us10004ccn,2016-03-30T02:27:49.040Z,"33km S of Alva, Oklahoma",earthquake,2.9,6.1,,,reviewed,tul,tul
2016-01-08T15:02:37.600Z,36.4842,-98.7266,0.155,2.7,ml,,116,,0.58,us,us10004cd3,2016-03-30T02:27:49.040Z,"32km NW of Fairview, Oklahoma",earthquake,2.2,7.3,,,reviewed,tul,tul
